URL,FILE SIZE,OUTGOING URLS,CONTENT-TYPE
http://www.nydailynews.com/entertainment/movies/woody-allen-amazon-studios-ink-deal-new-film-article-1.2536715,90601,112,text/html
http://www.nydailynews.com/entertainment/music/st-paul-broken-bones-southern-pride-risks-article-1.3496423,99130,122,text/html
http://www.nydailynews.com/autos/chrysler/details/specs/chrysler-300-2015-1.2078692?vtype=specs,35482,107,text/html
http://www.nydailynews.com/autos/latest-reviews/ratings-review-2016-mazda-6-grand-touring-sedan-favor-article-1.2614022,106840,122,text/html
http://www.nydailynews.com/new-york/remembering-harlem-race-riot-1943-gallery-1.3378246,67939,22,text/html
http://www.nydailynews.com/autos/ford/details/pricing/ford-expedition-el-2016-1.2453067?vtype=price,35251,107,text/html
http://www.nydailynews.com/autos/chevrolet/details/colors/chevrolet-silverado-1500-2017-1.2790079?vtype=colors,35326,107,text/html
http://www.nydailynews.com/newswires/news/business/roads-frankfurt-airport-close-wwii-bomb-removal-article-1.3506196,85124,107,text/html
http://www.nydailynews.com/newswires/sports/indians-roll-beat-angels-6-3-25th-win-26-games-article-1.3507715,93194,109,text/html
http://www.nydailynews.com/sports/baseball/yankees/sonny-gray-no-run-support-yankees-lose-rays-2-1-article-1.3491232,89570,109,text/html
http://www.nydailynews.com/entertainment/gossip/confidential/amy-adams-today-show-interview-canceled-sony-crisis-article-1.2053945,90209,112,text/html
http://www.nydailynews.com/new-york/secretly-taped-talks-lead-resignation-s-judges-article-1.3475809,85887,105,text/html
http://www.nydailynews.com/autos/honda/honda-civic-hatchback-2017-1.2774210,36062,115,text/html
http://www.nydailynews.com/autos/jaguar/jaguar-xe-2018-1.3017671,36636,113,text/html
http://www.nydailynews.com/amp/sports/football/jets/jets-season-ground-19-14-win-raiders-gallery-1.1931437,36125,30,text/html
http://www.nydailynews.com/autos/mazda/details/colors/2018-mazda-cx-9-review-ratings-photos-specifications-2018-1.3486863?vtype=colors,35016,107,text/html
http://www.nydailynews.com/entertainment/chain-restaurant-applebee-invites-justin-bieber-meal-article-1.2844297,88364,117,text/html
http://www.nydailynews.com/life-style/iris-van-herpen-runway-show-gallery-1.1710494,66167,20,text/html
http://www.nydailynews.com/tags/daniel-kessler,94747,104,text/html
http://www.nydailynews.com/amp/new-york/construction-worker-dies-fall-scaffolding-brooklyn-article-1.3257658,25856,31,text/html
http://www.nydailynews.com/authors?author=STEFAN-BONDY,107263,162,text/html
http://www.nydailynews.com/autos/tags/hatchbacks,69123,155,text/html
http://www.nydailynews.com/life-style/eats/starbucks-roll-cold-brew-coffee-article-1.2147491,85646,106,text/html
http://www.nydailynews.com/amp/autos/gallery-2018-nissan-pathfinder-photos-gallery-1.3508607,31467,30,text/html
http://www.nydailynews.com/autos/chevrolet/details/pricing/chevrolet-silverado-hd-2017-1.2896152?vtype=price,35703,107,text/html
http://www.nydailynews.com/news/world/israeli-embassy-shooting-jordan-leaves-man-dead-article-1.3349484,85786,109,text/html
http://www.nydailynews.com/newswires/news/national/cloudy-cool-august-restrains-melt-arctic-sea-ice-article-1.3507059,87203,107,text/html
http://www.nydailynews.com/newswires/entertainment/martha-stewart-attend-women-empowerment-event-article-1.3510805,84785,107,text/html
http://www.nydailynews.com/autos/news/mitsubishi-busted-lying-apple-secret-german-car-article-1.2609282,94382,123,text/html
http://www.nydailynews.com/newswires/news/business/latest-study-finds-health-bill-reshuffle-dollars-article-1.3511295,87226,107,text/html
http://www.nydailynews.com/new-york/fdny-announce-32-9-11-linked-deaths-anniversary-nears-article-1.3476104,89875,110,text/html
http://www.nydailynews.com/autos/mini-explores-ev-design-electric-concept-gallery-1.3454970,27279,20,text/html
http://www.nydailynews.com/amp/newswires/news/world/suspect-belgium-jewish-museum-shooting-tumor-article-1.3511044,26685,30,text/html
http://www.nydailynews.com/life-style/eats/starbucks-ceo-howard-schultz-stepping-article-1.2894912,86944,107,text/html
http://www.nydailynews.com/entertainment/blac-chyna-attorney-lisa-bloom-article-1.3311480,95064,121,text/html
http://www.nydailynews.com/autos/street-smarts/lamborghini-urus-12-reasons-world-wild-article-1.2238604,111497,134,text/html
http://www.nydailynews.com/newswires/sports/coaches-mull-redshirts-pac-12-true-frosh-thrive-article-1.3507236,90380,107,text/html
http://www.nydailynews.com/autos/gallery-2017-ford-f-150-photos-gallery-1.3011468,26495,20,text/html
